CropDays,SoilMoisture,Temperature,Humidity,Tempmax,Tempmin,Evapotranspiration,CropFactor,Waterneed,CropType
1,688,25,34,30,19,5.2029,0.45,2.341305,4
1,620,21,38,30,19,5.2029,0.45,2.341305,4
1,413,28,51,30,19,5.2029,0.45,1.405464,4
1,473,28,48,30,19,5.2029,0.45,1.609647,4
1,566,15,53,30,19,5.2029,0.45,1.926132,4
1,491,14,41,30,19,5.2029,0.45,1.670902,4
1,507,17,55,30,19,5.2029,0.45,1.725351,4
1,427,14,52,30,19,5.2029,0.45,1.453106,4
1,258,17,28,30,19,5.2029,0.45,0,4
1,111,16,38,30,19,5.2029,0.45,0,4
2,679,24,43,30.3,19.5,5.25258,0.45,2.363661,4
2,633,27,44,30.3,19.5,5.25258,0.45,2.363661,4
2,575,28,47,30.3,19.5,5.25258,0.45,2.001628,4
2,487,28,51,30.3,19.5,5.25258,0.45,1.695291,4
2,541,25,43,30.3,19.5,5.25258,0.45,1.88327,4
2,587,18,46,30.3,19.5,5.25258,0.45,2.043401,4
2,442,16,35,30.3,19.5,5.25258,0.45,1.538642,4
2,593,21,50,30.3,19.5,5.25258,0.45,2.064287,4
2,232,19,54,30.3,19.5,5.25258,0.45,0,4
2,327,23,34,30.3,19.5,5.25258,0.45,0,4
3,703,22,54,30.5,18.9,5.22774,0.45,2.352483,4
3,652,20,54,30.5,18.9,5.22774,0.45,2.352483,4
3,402,26,55,30.5,18.9,5.22774,0.45,1.345232,4
3,374,19,48,30.5,18.9,5.22774,0.45,1.251534,4
3,542,16,35,30.5,18.9,5.22774,0.45,1.813721,4
3,371,20,42,30.5,18.9,5.22774,0.45,1.241495,4
3,458,15,29,30.5,18.9,5.22774,0.45,1.532628,4
3,472,15,50,30.5,18.9,5.22774,0.45,1.579476,4
3,117,28,58,30.5,18.9,5.22774,0.45,0,4
3,170,28,46,30.5,18.9,5.22774,0.45,0,4
4,679,18,29,30,19.1,5.20911,0.45,2.3440995,4
4,679,16,58,30,19.1,5.20911,0.45,2.3440995,4
4,581,23,56,30,19.1,5.20911,0.45,2.005776,4
4,477,26,42,30,19.1,5.20911,0.45,1.646739,4
4,417,19,28,30,19.1,5.20911,0.45,1.439602,4
4,559,23,36,30,19.1,5.20911,0.45,1.929826,4
4,372,25,32,30,19.1,5.20911,0.45,1.284249,4
4,523,18,45,30,19.1,5.20911,0.45,1.805544,4
4,338,25,54,30,19.1,5.20911,0.45,0,4
4,320,18,37,30,19.1,5.20911,0.45,0,4
5,668,17,48,29.2,18.8,5.1408,0.45,2.31336,4
5,623,15,25,29.2,18.8,5.1408,0.45,2.31336,4
5,521,16,52,29.2,18.8,5.1408,0.45,1.804282,4
5,570,14,51,29.2,18.8,5.1408,0.45,1.973975,4
5,432,15,31,29.2,18.8,5.1408,0.45,1.496065,4
5,390,20,49,29.2,18.8,5.1408,0.45,1.350614,4
5,593,21,52,29.2,18.8,5.1408,0.45,2.053626,4
5,465,14,43,29.2,18.8,5.1408,0.45,1.610348,4
5,165,19,26,29.2,18.8,5.1408,0.45,0,4
5,330,24,35,29.2,18.8,5.1408,0.45,0,4
6,678,25,55,30.9,19.2,5.27121,0.45,2.3720445,4
6,600,19,40,30.9,19.2,5.27121,0.45,2.3720445,4
6,394,19,26,30.9,19.2,5.27121,0.45,1.378445,4
6,516,21,41,30.9,19.2,5.27121,0.45,1.805273,4
6,537,25,38,30.9,19.2,5.27121,0.45,1.878743,4
6,451,22,41,30.9,19.2,5.27121,0.45,1.577864,4
6,488,20,50,30.9,19.2,5.27121,0.45,1.707312,4
6,553,25,44,30.9,19.2,5.27121,0.45,1.934721,4
6,130,19,45,30.9,19.2,5.27121,0.45,0,4
6,168,27,57,30.9,19.2,5.27121,0.45,0,4
7,690,24,25,30.5,19.3,5.25258,0.45,2.363661,4
7,619,21,32,30.5,19.3,5.25258,0.45,2.363661,4
7,441,20,53,30.5,19.3,5.25258,0.45,1.510688,4
7,389,20,43,30.5,19.3,5.25258,0.45,1.332557,4
7,413,19,56,30.5,19.3,5.25258,0.45,1.414771,4
7,566,22,34,30.5,19.3,5.25258,0.45,1.938887,4
7,418,17,51,30.5,19.3,5.25258,0.45,1.431899,4
7,568,19,44,30.5,19.3,5.25258,0.45,1.945738,4
7,250,25,48,30.5,19.3,5.25258,0.45,0,4
7,114,16,50,30.5,19.3,5.25258,0.45,0,4
8,681,23,46,29.9,19,5.19669,0.45,2.3385105,4
8,658,22,28,29.9,19,5.19669,0.45,2.3385105,4
8,513,27,42,29.9,19,5.19669,0.45,1.761609,4
8,520,23,58,29.9,19,5.19669,0.45,1.785647,4
8,449,17,44,29.9,19,5.19669,0.45,1.541837,4
8,534,24,34,29.9,19,5.19669,0.45,1.833722,4
8,573,19,44,29.9,19,5.19669,0.45,1.967645,4
8,596,24,32,29.9,19,5.19669,0.45,2.046626,4
8,350,23,31,29.9,19,5.19669,0.45,0,4
8,347,17,55,29.9,19,5.19669,0.45,0,4
9,687,16,41,30.4,19.1,5.23395,0.45,2.3552775,4
9,638,23,55,30.4,19.1,5.23395,0.45,2.3552775,4
9,470,20,49,30.4,19.1,5.23395,0.45,1.611325,4
9,573,27,52,30.4,19.1,5.23395,0.45,1.964445,4
9,507,22,26,30.4,19.1,5.23395,0.45,1.738174,4
9,515,23,54,30.4,19.1,5.23395,0.45,1.765601,4
9,557,16,43,30.4,19.1,5.23395,0.45,1.909592,4
9,375,27,26,30.4,19.1,5.23395,0.45,1.285632,4
9,304,14,43,30.4,19.1,5.23395,0.45,0,4
9,335,28,45,30.4,19.1,5.23395,0.45,0,4
10,655,16,38,29.8,19.3,5.20911,0.45,2.3440995,4
10,627,17,50,29.8,19.3,5.20911,0.45,2.3440995,4
10,580,20,38,29.8,19.3,5.20911,0.45,2.075691,4
10,417,18,40,29.8,19.3,5.20911,0.45,1.49235,4
10,521,20,29,29.8,19.3,5.20911,0.45,0,4
10,411,14,27,29.8,19.3,5.20911,0.45,1.470878,4
10,583,14,40,29.8,19.3,5.20911,0.45,2.086427,4
10,374,23,47,29.8,19.3,5.20911,0.45,1.338463,4
10,353,25,45,29.8,19.3,5.20911,0.45,0,4
10,351,25,32,29.8,19.3,5.20911,0.45,0,4
11,679,25,33,30.3,19,5.22153,0.45,2.3496885,4
11,676,23,58,30.3,19,5.22153,0.45,2.3496885,4
11,538,20,35,30.3,19,5.22153,0.45,1.861756,4
11,430,17,44,30.3,19,5.22153,0.45,1.488021,4
11,495,15,43,30.3,19,5.22153,0.45,1.712954,4
11,550,22,29,30.3,19,5.22153,0.45,1.903282,4
11,567,22,47,30.3,19,5.22153,0.45,1.962111,4
11,470,16,30,30.3,19,5.22153,0.45,1.626441,4
11,281,16,50,30.3,19,5.22153,0.45,0,4
11,351,25,47,30.3,19,5.22153,0.45,0,4
12,696,19,35,30.1,18.9,5.2029,0.45,2.341305,4
12,658,20,55,30.1,18.9,5.2029,0.45,2.341305,4
12,508,19,57,30.1,18.9,5.2029,0.45,1.708884,4
12,490,22,27,30.1,18.9,5.2029,0.45,1.648333,4
12,464,22,33,30.1,18.9,5.2029,0.45,1.56087,4
12,485,22,55,30.1,18.9,5.2029,0.45,1.631513,4
12,417,23,42,30.1,18.9,5.2029,0.45,1.402765,4
12,588,26,32,30.1,18.9,5.2029,0.45,1.977999,4
12,303,25,28,30.1,18.9,5.2029,0.45,0,4
12,330,21,40,30.1,18.9,5.2029,0.45,0,4
13,650,19,25,30,19.1,5.20911,0.45,2.3440995,4
13,604,18,36,30,19.1,5.20911,0.45,2.3440995,4
13,422,16,54,30,19.1,5.20911,0.45,1.521862,4
13,528,23,34,30,19.1,5.20911,0.45,1.90413,4
13,418,20,44,30,19.1,5.20911,0.45,1.507436,4
13,490,18,40,30,19.1,5.20911,0.45,1.76709,4
13,398,16,25,30,19.1,5.20911,0.45,1.43531,4
13,443,14,46,30,19.1,5.20911,0.45,1.597594,4
13,217,27,50,30,19.1,5.20911,0.45,0,4
13,116,15,57,30,19.1,5.20911,0.45,0,4
14,666,14,32,29.7,18.8,5.17185,0.45,2.3273325,4
14,649,17,43,29.7,18.8,5.17185,0.45,2.3273325,4
14,523,28,43,29.7,18.8,5.17185,0.45,1.82762,4
14,411,24,32,29.7,18.8,5.17185,0.45,1.436237,4
14,524,23,42,29.7,18.8,5.17185,0.45,1.831114,4
14,433,22,33,29.7,18.8,5.17185,0.45,1.513116,4
14,436,18,39,29.7,18.8,5.17185,0.45,1.523599,4
14,545,18,26,29.7,18.8,5.17185,0.45,1.904499,4
14,267,28,43,29.7,18.8,5.17185,0.45,0,4
14,279,27,25,29.7,18.8,5.17185,0.45,0,4
15,670,27,44,29.9,19.5,5.22774,0.45,2.352483,4
15,613,21,54,29.9,19.5,5.22774,0.45,2.352483,4
15,570,26,48,29.9,19.5,5.22774,0.45,2.001366,4
15,423,21,56,29.9,19.5,5.22774,0.45,1.485224,4
15,475,17,27,29.9,19.5,5.22774,0.45,1.667805,4
15,540,23,30,29.9,19.5,5.22774,0.45,1.896031,4
15,436,22,42,29.9,19.5,5.22774,0.45,1.53087,4
15,527,20,40,29.9,19.5,5.22774,0.45,1.850386,4
15,323,21,29,29.9,19.5,5.22774,0.45,0,4
15,144,14,33,29.9,19.5,5.22774,0.45,0,4
16,693,15,56,29.8,19.2,5.2029,0.45,2.341305,4
16,664,18,44,29.8,19.2,5.2029,0.45,2.341305,4
16,599,24,46,29.8,19.2,5.2029,0.45,2.023725,4
16,558,22,49,29.8,19.2,5.2029,0.45,1.885207,4
16,502,23,47,29.8,19.2,5.2029,0.45,1.69601,4
16,543,18,43,29.8,19.2,5.2029,0.45,1.834529,4
16,485,24,36,29.8,19.2,5.2029,0.45,1.638576,4
16,409,16,53,29.8,19.2,5.2029,0.45,1.381809,4
16,154,17,33,29.8,19.2,5.2029,0.45,0,4
16,140,27,28,29.8,19.2,5.2029,0.45,0,4
17,661,24,30,30,19.3,5.22153,0.45,2.3496885,4
17,619,27,37,30,19.3,5.22153,0.45,2.3496885,4
17,586,22,27,30,19.3,5.22153,0.45,2.083082,4
17,479,17,41,30,19.3,5.22153,0.45,1.702724,4
17,374,28,45,30,19.3,5.22153,0.45,1.329476,4
17,593,22,39,30,19.3,5.22153,0.45,2.107966,4
17,529,25,45,30,19.3,5.22153,0.45,1.880462,4
17,404,16,28,30,19.3,5.22153,0.45,1.436118,4
17,343,16,40,30,19.3,5.22153,0.45,0,4
17,332,22,36,30,19.3,5.22153,0.45,0,4
18,651,19,54,29.7,19.5,5.21532,0.45,2.346894,4
18,643,21,39,29.7,19.5,5.21532,0.45,2.346894,4
18,519,19,47,29.7,19.5,5.21532,0.45,1.871026,4
18,583,15,54,29.7,19.5,5.21532,0.45,2.10175,4
18,563,21,51,29.7,19.5,5.21532,0.45,2.029649,4
18,531,26,33,29.7,19.5,5.21532,0.45,1.914287,4
18,508,19,49,29.7,19.5,5.21532,0.45,1.83137,4
18,576,25,51,29.7,19.5,5.21532,0.45,2.076515,4
18,219,18,56,29.7,19.5,5.21532,0.45,0,4
18,264,15,54,29.7,19.5,5.21532,0.45,0,4
19,670,21,43,30.1,18.7,5.19048,0.45,2.335716,4
19,609,20,33,30.1,18.7,5.19048,0.45,2.335716,4
19,395,26,39,30.1,18.7,5.19048,0.45,1.377027,4
19,565,23,48,30.1,18.7,5.19048,0.45,1.969671,4
19,596,26,40,30.1,18.7,5.19048,0.45,2.077741,4
19,419,21,39,30.1,18.7,5.19048,0.45,1.460694,4
19,581,23,48,30.1,18.7,5.19048,0.45,2.025449,4
19,457,16,53,30.1,18.7,5.19048,0.45,1.593167,4
19,254,16,28,30.1,18.7,5.19048,0.45,0,4
19,307,22,57,30.1,18.7,5.19048,0.45,0,4
20,674,15,30,29.9,19.4,5.22153,0.45,2.3496885,4
20,606,23,31,29.9,19.4,5.22153,0.45,2.3496885,4
20,558,20,47,29.9,19.4,5.22153,0.45,1.945291,4
20,511,14,28,29.9,19.4,5.22153,0.45,1.78144,4
20,402,21,31,29.9,19.4,5.22153,0.45,1.401446,4
20,419,14,40,29.9,19.4,5.22153,0.45,0,4
20,487,20,51,29.9,19.4,5.22153,0.45,1.697772,4
20,530,22,25,29.9,19.4,5.22153,0.45,1.847678,4
20,282,28,53,29.9,19.4,5.22153,0.45,0,4
20,176,14,39,29.9,19.4,5.22153,0.45,0,4
21,682,22,28,30.2,19,5.21532,0.45,2.346894,4
21,600,21,51,30.2,19,5.21532,0.45,2.346894,4
21,468,28,49,30.2,19,5.21532,0.45,1.610479,4
21,390,15,36,30.2,19,5.21532,0.45,1.342065,4
21,515,19,36,30.2,19,5.21532,0.45,1.772215,4
21,548,28,43,30.2,19,5.21532,0.45,1.885774,4
21,548,26,26,30.2,19,5.21532,0.45,1.885774,4
21,537,15,46,30.2,19,5.21532,0.45,1.847921,4
21,122,24,44,30.2,19,5.21532,0.45,0,4
21,143,17,36,30.2,19,5.21532,0.45,0,4
22,720,25,47,30.1,19.1,5.21532,0.45,2.346894,4
22,657,21,31,30.1,19.1,5.21532,0.45,2.346894,4
